record_type,N,z,first_x,first_y,offset,ratio
first_x,174110438,13195,14869,174095569,1674,1.12686623721
first_x,176155898,13272,14887,176141011,1615,1.12168474985
first_x,182067658,13493,14951,182052707,1458,1.10805602905
first_x,182769326,13519,15187,182754139,1668,1.12338190695
first_x,188086448,13714,15217,188071231,1503,1.10959603325
first_x,189514358,13766,15259,189499099,1493,1.10845561528
first_x,189805832,13777,15271,189790561,1494,1.10844160557
first_x,189824588,13777,15289,189809299,1512,1.10974813094
first_x,189846308,13778,15319,189830989,1541,1.11184497024
first_x,190194892,13791,15761,190179131,1970,1.14284678413
offset,190194892,13791,15761,190179131,1970,1.14284678413
first_x,204518068,14300,15797,204502271,1497,1.10468531469
first_x,208530758,14440,15859,208514899,1419,1.09826869806
first_x,210434186,14506,15973,210418213,1467,1.10113056666
first_x,214343512,14640,16001,214327511,1361,1.09296448087
first_x,214517168,14646,16369,214500799,1723,1.11764304247
first_x,216809116,14724,16427,216792689,1703,1.11566150503
first_x,222409702,14913,16493,222393209,1580,1.10594783075
first_x,227969026,15098,16649,227952377,1551,1.10272883826
first_x,233532352,15281,16673,233515679,1392,1.09109351482
first_x,234533578,15314,17159,234516419,1845,1.12047799399
first_x,238836856,15454,17333,238819523,1879,1.12158664423
first_x,244427558,15634,17377,244410181,1743,1.11148778304
first_x,251732258,15866,17419,251714839,1553,1.09788226396
first_x,252564778,15892,17477,252547301,1585,1.09973571608
first_x,252922408,15903,17747,252904661,1844,1.11595296485
first_x,258807782,16087,17851,258789931,1764,1.10965375769
first_x,262277656,16194,17909,262259747,1715,1.10590342102
first_x,262500454,16201,18041,262482413,1840,1.11357323622
first_x,269724796,16423,18077,269706719,1654,1.10071241551
first_x,271364812,16473,18131,271346681,1658,1.10064954774
first_x,274615588,16571,18257,274597331,1686,1.10174401062
first_x,276710032,16634,18311,276691721,1677,1.1008176025
first_x,281569732,16780,18353,281551379,1573,1.09374255066
first_x,283687876,16843,18587,283669289,1744,1.1035444992
first_x,289644316,17018,18593,289625723,1575,1.0925490657
first_x,290562694,17045,18731,290543963,1686,1.09891463772
first_x,298092616,17265,18947,298073669,1682,1.09742253113
first_x,301560472,17365,19259,301541213,1894,1.10906996833
first_x,306570086,17509,19267,306550819,1758,1.10040550574
first_x,307912786,17547,19289,307893497,1742,1.09927622955
first_x,308236288,17556,19559,308216729,2003,1.1140920483
offset,308236288,17556,19559,308216729,2003,1.1140920483
first_x,323776918,17993,19577,323757341,1584,1.08803423554
first_x,325815212,18050,19801,325795411,1751,1.09700831025
first_x,327881468,18107,19861,327861607,1754,1.09686861435
first_x,332713678,18240,19919,332693759,1679,1.0920504386
first_x,333620674,18265,19937,333600737,1672,1.09154119901
first_x,336809008,18352,20021,336788987,1669,1.09094376635
first_x,337590416,18373,20047,337570369,1674,1.09111195776
first_x,340482694,18452,20123,340462571,1671,1.09055928897
first_x,341366176,18476,20543,341345633,2067,1.11187486469
offset,341366176,18476,20543,341345633,2067,1.11187486469
first_x,347756944,18648,20963,347735981,2315,1.12414199914
offset,347756944,18648,20963,347735981,2315,1.12414199914
first_x,370488334,19248,21227,370467107,1979,1.10281587697
first_x,383061878,19571,21379,383040499,1808,1.092381585
first_x,385547962,19635,21383,385526579,1748,1.08902470079
first_x,387682978,19689,21401,387661577,1712,1.08695210524
first_x,388130768,19701,21517,388109251,1816,1.09217806203
first_x,392806748,19819,21559,392785189,1740,1.08779454059
first_x,393954382,19848,21599,393932783,1751,1.08822047561
first_x,398593178,19964,21649,398571529,1685,1.08440192346
first_x,402313654,20057,21851,402291803,1794,1.08944508152
first_x,404741872,20118,22013,404719859,1895,1.0941942539
first_x,408726734,20216,22027,408704707,1811,1.0895825089
first_x,409736032,20241,22229,409713803,1988,1.09821649128
first_x,422469884,20554,22303,422447581,1749,1.08509292595
first_x,423004844,20567,22483,422982361,1916,1.09315894394
first_x,425989568,20639,22531,425967037,1892,1.0916711081
first_x,429773936,20730,22567,429751369,1837,1.08861553304
first_x,433327786,20816,22769,433305017,1953,1.09382205995
first_x,441120668,21002,23017,441097651,2015,1.0959432435
first_x,452908436,21281,23053,452885383,1772,1.08326676378
first_x,459774086,21442,23173,459750913,1731,1.08072940957
first_x,462108952,21496,23201,462085751,1705,1.07931708225
first_x,464682536,21556,23227,464659309,1671,1.07751902023
first_x,466239296,21592,23269,466216027,1677,1.07766765469
first_x,467794616,21628,23293,467771323,1665,1.07698353986
first_x,469945328,21678,23497,469921831,1819,1.08390995479
first_x,470383094,21688,23563,470359531,1875,1.08645333825
first_x,475011224,21794,23671,474987553,1877,1.08612462146
first_x,481586264,21945,23857,481562407,1912,1.08712690818
first_x,484471436,22010,23917,484447519,1907,1.08664243526
first_x,491777392,22176,23981,491753411,1805,1.08139430014
first_x,495394598,22257,24379,495370219,2122,1.09534079166
first_x,509368016,22569,24439,509343577,1870,1.08285701626
first_x,514016246,22671,24499,513991747,1828,1.08063164395
first_x,520917982,22823,24659,520893323,1836,1.08044516497
first_x,523255232,22874,24691,523230541,1817,1.07943516656
first_x,525183566,22916,24697,525158869,1781,1.07771862454
first_x,525212392,22917,24821,525187571,1904,1.08308242789
first_x,533389834,23095,24851,533364983,1756,1.07603377354
first_x,533878204,23105,25013,533853191,1908,1.08257952824
first_x,534991742,23129,25561,534966181,2432,1.10514937957
offset,534991742,23129,25561,534966181,2432,1.10514937957
first_x,561043258,23686,25601,561017657,1915,1.08084944693
first_x,561466046,23695,25633,561440413,1938,1.08178940705
first_x,566811746,23807,25639,566786107,1832,1.07695215693
first_x,569822518,23870,25841,569796677,1971,1.08257226644
first_x,570834794,23892,26203,570808591,2311,1.09672693789
first_x,581571478,24115,26627,581544851,2512,1.10416753058
offset,581571478,24115,26627,581544851,2512,1.10416753058
first_x,613634492,24771,26701,613607791,1930,1.07791368939
first_x,616018616,24819,26737,615991879,1918,1.07727950361
first_x,619089538,24881,26777,619062761,1896,1.07620272497
first_x,626962022,25039,26833,626935189,1794,1.07164822876
first_x,629987426,25099,26839,629960587,1740,1.06932547113
first_x,631039688,25120,26881,631012807,1761,1.07010350318
first_x,632892566,25157,26947,632865619,1790,1.07115315817
first_x,635681828,25212,26959,635654869,1747,1.06929240044
first_x,636866924,25236,27043,636839881,1807,1.0716040577
first_x,637619156,25251,27259,637591897,2008,1.0795216031
first_x,643486136,25367,27283,643458853,1916,1.07553120196
first_x,658161172,25654,27581,658133591,1927,1.07511499181
first_x,661349336,25716,27673,661321663,1957,1.07610048219
first_x,672396866,25930,27793,672369073,1863,1.07184728114
first_x,672974558,25941,27799,672946759,1858,1.07162407001
first_x,674565446,25972,27823,674537623,1851,1.07126905899
first_x,677103398,26021,28297,677075101,2276,1.08746781446
first_x,688505642,26239,28393,688477249,2154,1.08209154312
first_x,699475334,26447,28591,699446743,2144,1.08106779597
first_x,705299576,26557,28813,705270763,2256,1.08494935422
first_x,726109724,26946,28843,726080881,1897,1.07040005938
first_x,735655964,27122,28933,735627031,1811,1.06677236192
first_x,742737172,27253,29033,742708139,1780,1.0653139104
first_x,751202482,27408,29063,751173419,1655,1.06038382954
first_x,752098828,27424,29201,752069627,1777,1.06479725788
first_x,754535458,27468,29297,754506161,1829,1.06658657347
first_x,758378614,27538,29327,758349287,1789,1.06496477595
first_x,759657928,27561,29339,759628589,1778,1.06451144734
first_x,760060858,27569,29759,760031099,2190,1.07943704886
first_x,769145368,27733,29837,769115531,2104,1.07586629647
first_x,781325278,27952,29879,781295399,1927,1.06893961076
first_x,782029078,27964,30197,781998881,2233,1.07985266772
first_x,793969226,28177,30469,793938757,2292,1.08134293928
first_x,802755176,28332,30529,802724647,2197,1.07754482564
first_x,813250604,28517,30853,813219751,2336,1.08191605008
first_x,825523276,28731,30893,825492383,2162,1.07524973026
first_x,827105282,28759,31033,827074249,2274,1.07907089954
first_x,843744394,29047,31091,843713303,2044,1.07036871278
first_x,848240698,29124,31139,848209559,2015,1.06918692487
first_x,856963222,29273,31193,856932029,1920,1.06558945103
first_x,858373414,29298,31271,858342143,1973,1.06734248072
first_x,862533074,29368,31333,862501741,1965,1.06690956143
first_x,864708184,29405,31517,864676667,2112,1.07182451964
first_x,868133356,29464,31547,868101809,2083,1.07069644312
first_x,869106064,29480,31973,869074091,2493,1.08456580733
first_x,896964526,29949,32069,896932457,2120,1.07078700457
first_x,903003316,30050,32327,902970989,2277,1.07577371048
first_x,918919964,30313,32587,918887377,2274,1.0750173193
first_x,931568926,30521,32603,931536323,2082,1.06821532715
first_x,933869164,30559,32621,933836543,2062,1.06747602997
first_x,938816926,30640,32693,938784233,2053,1.06700391645
first_x,950363198,30827,32749,950330449,1922,1.06234794174
first_x,957161798,30938,32971,957128827,2033,1.0657120693
first_x,969600908,31138,33289,969567619,2151,1.06907958122
first_x,989929946,31463,33457,989896489,1994,1.06337602899
first_x,999605078,31616,33469,999571609,1853,1.05860956478
first_x,1003424978,31676,33619,1003391359,1943,1.06133981563
first_x,1006793804,31730,33937,1006759867,2207,1.06955562559
first_x,1024613438,32009,33967,1024579471,1958,1.06117029585
first_x,1034836682,32168,34141,1034802541,1973,1.06133424521
first_x,1037987134,32217,34217,1037952917,2000,1.0620790266
first_x,1048607776,32382,34253,1048573523,1871,1.05777901303
first_x,1052847854,32447,34273,1052813581,1826,1.05627638919
first_x,1058147278,32529,34511,1058112767,1982,1.06093024686
first_x,1074363914,32777,34543,1074329371,1766,1.05387924459
first_x,1075394608,32793,34607,1075360001,1814,1.05531668344
first_x,1076855876,32815,34843,1076821033,2028,1.06180100564
first_x,1080661742,32873,34849,1080626893,1976,1.06011012077
first_x,1082112734,32895,34897,1082077837,2002,1.06086031312
first_x,1085546624,32947,35107,1085511517,2160,1.06555983853
first_x,1092092402,33046,35281,1092057121,2235,1.06763299643
first_x,1114881934,33389,35771,1114846163,2382,1.07134086076
first_x,1129049954,33601,35797,1129014157,2196,1.06535519776
first_x,1143275624,33812,35923,1143239701,2111,1.06243345558
first_x,1143324362,33813,36691,1143287671,2878,1.08511519238
offset,1143324362,33813,36691,1143287671,2878,1.08511519238
first_x,1175613152,34287,36931,1175576221,2644,1.0771137749
first_x,1224002402,34985,36979,1223965423,1994,1.05699585537
first_x,1235885372,35155,37189,1235848183,2034,1.05785805718
first_x,1243153922,35258,37273,1243116649,2015,1.05715015032
first_x,1246343668,35303,37337,1246306331,2034,1.0576155001
first_x,1254741802,35422,37409,1254704393,1987,1.05609508215
first_x,1258119398,35469,37549,1258081849,2080,1.05864275847
first_x,1268218682,35612,37561,1268181121,1949,1.05472874312
first_x,1268375938,35614,37799,1268338139,2185,1.06135227719
first_x,1279879234,35775,38201,1279841033,2426,1.06781271838
first_x,1283568604,35826,38231,1283530373,2405,1.06713001731
first_x,1298321686,36032,38237,1298283449,2205,1.06119560391
first_x,1302860164,36095,38393,1302821771,2298,1.06366532761
first_x,1310190088,36196,38447,1310151641,2251,1.06218919218
first_x,1314115876,36250,38459,1314077417,2209,1.06093793103
first_x,1317062176,36291,38543,1317023633,2252,1.06205395277
first_x,1337950442,36578,38791,1337911651,2213,1.0605008475
first_x,1340698868,36615,38821,1340660047,2206,1.06024853202
first_x,1342332296,36637,38839,1342293457,2202,1.06010317439
first_x,1348045462,36715,38873,1348006589,2158,1.05877706659
first_x,1349144156,36730,39097,1349105059,2367,1.06444323441
first_x,1364879008,36944,39239,1364839769,2295,1.06212104807
first_x,1385272172,37219,39313,1385232859,2094,1.05626158682
first_x,1393511326,37329,39317,1393472009,1988,1.05325618152
first_x,1394203066,37339,39443,1394163623,2104,1.05634858995
first_x,1397018998,37376,39509,1396979489,2133,1.05706870719
first_x,1401454528,37436,39659,1401414869,2223,1.05938134416
first_x,1411148786,37565,39979,1411108807,2414,1.06426194596
first_x,1411913072,37575,40429,1411872643,2854,1.07595475715
first_x,1460152604,38211,40903,1460111701,2692,1.07045091728
first_x,1501217714,38745,41017,1501176697,2272,1.05863982449
first_x,1502753926,38765,41549,1502712377,2784,1.07181736102
first_x,1553613284,39415,41851,1553571433,2436,1.06180388177
first_x,1571199862,39638,41969,1571157893,2331,1.05880720521
first_x,1582169276,39776,42073,1582127203,2297,1.05774839099
first_x,1600451404,40005,42557,1600408847,2552,1.063792026
first_x,1655879168,40692,43117,1655836051,2425,1.0595940234
first_x,1694988062,41170,43159,1694944903,1989,1.04831187758
first_x,1696970018,41194,43411,1696926607,2217,1.05381851726
first_x,1710804206,41361,43633,1710760573,2272,1.05493097362
first_x,1734623918,41648,43669,1734580249,2021,1.04852573953
first_x,1735584074,41660,43717,1735540357,2057,1.04937590014
first_x,1738341716,41693,43753,1738297963,2060,1.04940877366
first_x,1740852892,41723,43961,1740808931,2238,1.05363947942
first_x,1752501892,41862,44483,1752457409,2621,1.06261048206
first_x,1793189122,42346,44633,1793144489,2287,1.05400746233
first_x,1805028074,42485,44701,1804983373,2216,1.05215958574
first_x,1820039174,42661,44797,1819994377,2136,1.05006914981
first_x,1828065566,42755,44893,1828020673,2138,1.05000584727
first_x,1836926678,42859,45259,1836881419,2400,1.05599757344
first_x,1844925622,42952,45329,1844880293,2377,1.0553408456
first_x,1852005104,43034,45433,1851959671,2399,1.05574661895
first_x,1854451616,43063,45553,1854406063,2490,1.05782226041
first_x,1858533674,43110,45631,1858488043,2521,1.0584783113
first_x,1866089528,43198,45757,1866043771,2559,1.05923885365
first_x,1866192638,43199,46099,1866146539,2900,1.06713118359
offset,1866192638,43199,46099,1866146539,2900,1.06713118359
first_x,1889306668,43466,46181,1889260487,2715,1.06246261446
first_x,1890643568,43481,46261,1890597307,2780,1.06393597203
first_x,1938390422,44027,46471,1938343951,2444,1.05551139074
first_x,1942745198,44076,46477,1942698721,2401,1.05447409021
first_x,1951245158,44172,46567,1951198591,2395,1.05421986779
first_x,1965460136,44333,46639,1965413497,2306,1.05201542869
first_x,1968619508,44369,47017,1968572491,2648,1.05968130902
first_x,1986244744,44567,47303,1986197441,2736,1.0613907151
first_x,2013279266,44869,47389,2013231877,2520,1.05616349818
first_x,2032414568,45082,47419,2032367149,2337,1.05183887139
first_x,2050524856,45282,47717,2050477139,2435,1.05377412658
first_x,2059780406,45384,47917,2059732489,2533,1.05581262119
first_x,2076895976,45572,48109,2076847867,2537,1.05567014834
first_x,2109529528,45929,48179,2109481349,2250,1.0489886564
first_x,2111922856,45955,48647,2111874209,2692,1.05857904472
first_x,2143702072,46300,48731,2143653341,2431,1.05250539957
first_x,2147484932,46340,48733,2147436199,2393,1.05164005179
first_x,2156916092,46442,48781,2156867311,2339,1.05036389475
first_x,2163580898,46514,48859,2163532039,2345,1.05041492884
first_x,2184512456,46738,49177,2184463279,2439,1.05218451795
first_x,2195416462,46855,49451,2195367011,2596,1.05540497279
first_x,2247910858,47412,50261,2247860597,2849,1.0600902725
first_x,2316778402,48132,50333,2316728069,2201,1.04572841353
first_x,2319106798,48157,50411,2319056387,2254,1.04680524119
first_x,2328431398,48253,50549,2328380849,2296,1.04758253373
first_x,2351598988,48493,50651,2351548337,2158,1.04450126822
first_x,2359099642,48570,50723,2359048919,2153,1.04432777435
first_x,2364446248,48625,50741,2364395507,2116,1.04351670951
first_x,2368877326,48671,50909,2368826417,2238,1.04598220706
first_x,2381785214,48803,51031,2381734183,2228,1.04565293117
first_x,2384501732,48831,51043,2384450689,2212,1.04529909279
first_x,2390196866,48889,51109,2390145757,2220,1.04540898771
first_x,2396227588,48951,51431,2396176157,2480,1.05066290781
first_x,2416127696,49154,51679,2416076017,2525,1.05136916629
first_x,2443159436,49428,51787,2443107649,2359,1.04772598527
first_x,2459209202,49590,51829,2459157373,2239,1.0451502319
first_x,2462639174,49624,51973,2462587201,2349,1.04733596647
first_x,2469787084,49696,52301,2469734783,2605,1.05241870573
